accuracy,precision,recall,f1,roc_auc,model,fold,split
0.6771410967344423,0.0,0.0,0.0,0.5,dummy_baseline,0,train
0.7610837438423645,0.0,0.0,0.0,0.5,dummy_baseline,0,val
0.6999383857054837,0.0,0.0,0.0,0.5,dummy_baseline,1,train
0.6699507389162561,0.0,0.0,0.0,0.5,dummy_baseline,1,val
0.6814540973505854,0.0,0.0,0.0,0.5,dummy_baseline,2,train
0.7438423645320197,0.0,0.0,0.0,0.5,dummy_baseline,2,val
0.7005545286506469,0.0,0.0,0.0,0.5,dummy_baseline,3,train
0.6674876847290641,0.0,0.0,0.0,0.5,dummy_baseline,3,val
0.7105911330049262,0.0,0.0,0.0,0.5,dummy_baseline,4,train
0.6271604938271605,0.0,0.0,0.0,0.5,dummy_baseline,4,val
0.9328404189772027,0.8633975481611208,0.9408396946564885,0.9004566210045662,0.9829564003361835,logistic_regression,0,train
0.8768472906403941,0.7582417582417582,0.711340206185567,0.7340425531914894,0.9045807893771061,logistic_regression,0,val
0.9353049907578558,0.8631178707224335,0.9322381930184805,0.8963474827245804,0.9776892876767794,logistic_regression,1,train
0.8891625615763546,0.8248175182481752,0.8432835820895522,0.8339483394833949,0.8882791922739245,logistic_regression,1,val
0.9229821318545902,0.8525179856115108,0.9168278529980658,0.8835041938490215,0.9775096974127409,logistic_regression,2,train
0.8177339901477833,0.6102941176470589,0.7980769230769231,0.6916666666666667,0.9353667855323484,logistic_regression,2,val
0.9359211337030191,0.8745098039215686,0.9176954732510288,0.8955823293172691,0.9808245654038678,logistic_regression,3,train
0.8522167487684729,0.7516778523489933,0.8296296296296296,0.7887323943661971,0.9044963782971163,logistic_regression,3,val
0.9261083743842364,0.8378378378378378,0.9234042553191489,0.8785425101214575,0.9766141819388622,logistic_regression,4,train
0.8197530864197531,0.7010309278350515,0.9006622516556292,0.7884057971014493,0.9587526724722324,logistic_regression,4,val
1.0,1.0,1.0,1.0,1.0,decision_tree,0,train
0.7955665024630542,0.553030303030303,0.7525773195876289,0.6375545851528385,0.780819404130384,decision_tree,0,val
1.0,1.0,1.0,1.0,1.0,decision_tree,1,train
0.8275862068965517,0.7807017543859649,0.664179104477612,0.717741935483871,0.7861336698858647,decision_tree,1,val
1.0,1.0,1.0,1.0,1.0,decision_tree,2,train
0.7660098522167488,0.5391304347826087,0.5961538461538461,0.5662100456621004,0.7103285787060623,decision_tree,2,val
1.0,1.0,1.0,1.0,1.0,decision_tree,3,train
0.6330049261083743,0.4444444444444444,0.4148148148148148,0.42911877394636017,0.5782561158944921,decision_tree,3,val
1.0,1.0,1.0,1.0,1.0,decision_tree,4,train
0.782716049382716,0.7058823529411765,0.7152317880794702,0.7105263157894737,0.7690332168743808,decision_tree,4,val
1.0,1.0,1.0,1.0,1.0,random_forest,0,train
0.9187192118226601,1.0,0.6597938144329897,0.7950310559006211,0.9368431588429587,random_forest,0,val
1.0,1.0,1.0,1.0,1.0,random_forest,1,train
0.9137931034482759,0.9380530973451328,0.7910447761194029,0.8582995951417004,0.9725499341527655,random_forest,1,val
1.0,1.0,1.0,1.0,1.0,random_forest,2,train
0.8916256157635468,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.9549318644931226,random_forest,2,val
1.0,1.0,1.0,1.0,1.0,random_forest,3,train
0.8571428571428571,0.8468468468468469,0.6962962962962963,0.7642276422764228,0.9270739374060407,random_forest,3,val
1.0,1.0,1.0,1.0,1.0,random_forest,4,train
0.9111111111111111,0.8807947019867549,0.8807947019867549,0.8807947019867549,0.960460447410961,random_forest,4,val
1.0,1.0,1.0,1.0,1.0,gradient_boosting,0,train
0.9187192118226601,0.9102564102564102,0.7319587628865979,0.8114285714285714,0.9361425282754479,gradient_boosting,0,val
1.0,1.0,1.0,1.0,1.0,gradient_boosting,1,train
0.916256157635468,0.923728813559322,0.8134328358208955,0.8650793650793651,0.9598331870061457,gradient_boosting,1,val
1.0,1.0,1.0,1.0,1.0,gradient_boosting,2,train
0.8620689655172413,0.6875,0.8461538461538461,0.7586206896551724,0.9498217014773306,gradient_boosting,2,val
1.0,1.0,1.0,1.0,1.0,gradient_boosting,3,train
0.8177339901477833,0.7194244604316546,0.7407407407407407,0.7299270072992701,0.9222905562388958,gradient_boosting,3,val
1.0,1.0,1.0,1.0,1.0,gradient_boosting,4,train
0.8864197530864197,0.8143712574850299,0.9006622516556292,0.8553459119496856,0.9469937946498409,gradient_boosting,4,val
1.0,1.0,1.0,1.0,1.0,xgboost,0,train
0.9039408866995073,0.8918918918918919,0.6804123711340206,0.7719298245614035,0.9121876355386515,xgboost,0,val
1.0,1.0,1.0,1.0,1.0,xgboost,1,train
0.8817733990147784,0.8771929824561403,0.746268656716418,0.8064516129032258,0.9576108428446006,xgboost,1,val
1.0,1.0,1.0,1.0,1.0,xgboost,2,train
0.8448275862068966,0.6614173228346457,0.8076923076923077,0.7272727272727273,0.9392829852266937,xgboost,2,val
1.0,1.0,1.0,1.0,1.0,xgboost,3,train
0.8201970443349754,0.7039473684210527,0.7925925925925926,0.7456445993031359,0.8934536012026787,xgboost,3,val
1.0,1.0,1.0,1.0,1.0,xgboost,4,train
0.8641975308641975,0.8,0.847682119205298,0.8231511254019293,0.9366167805183294,xgboost,4,val
