model,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall_sensitivity,recall_sensitivity_ci_low,recall_sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,brier_score,brier_score_ci_low,brier_score_ci_high
decision_tree,0.7609659931000493,0.716201463744421,0.8050648948583342,0.60625,0.5128215434083602,0.6926921814472813,0.6247987117552335,0.5375995087769992,0.711160506547896,0.8210227272727273,0.7736347974799744,0.8648495509122976,0.6153846153846154,0.536433746385732,0.6834715992616707,0.7229107195139804,0.6700810779112246,0.772279339008584,0.4936191130380815,0.4158334112956141,0.5730095361685463,0.7229107195139803,0.6700810779112246,0.772279339008584,0.23903400689995072,0.19493510514166576,0.28379853625557905
dummy_baseline,0.6939379004435683,0.6476001278702902,0.7394523769847187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.30606209955643177,0.26054762301528134,0.3523998721297097,0.5,0.5,0.5,0.30606209955643177,0.26054762301528134,0.3523998721297097
gradient_boosting,0.8802365697387876,0.8456434107293473,0.911317366874329,0.8,0.7227491403970067,0.8705900909259603,0.8115942028985508,0.7428559342518734,0.8763586498830895,0.9105113636363636,0.8702177406810859,0.9427533394247922,0.8057553956834532,0.7451672914124984,0.8552418926103136,0.9435169173620261,0.9184375110129555,0.9644779216942894,0.9003533936694984,0.8554919286400092,0.9370104098051735,0.8610527832674573,0.8220167038905343,0.8965630287041254,0.09013845997504792,0.06848348956654518,0.11430492084839362
logistic_regression,0.8511582060128142,0.8140669672647299,0.8857094572856952,0.7256011315417256,0.652040693156266,0.8005395534703974,0.8260869565217391,0.7578676779589789,0.8871413948047113,0.8622159090909091,0.8193767660634994,0.9043042506086779,0.7725903614457831,0.7131992925722148,0.8271802212101497,0.9183410188844974,0.8839932567705207,0.947755321932519,0.8275629872236594,0.7555507066771108,0.9069003729245153,0.8441514328063241,0.8053439819463527,0.8814107836624844,0.11107062394697373,0.08706256939923318,0.1370495537533385
random_forest,0.8984721537703302,0.8663944171393977,0.926276853659109,0.8793418647166362,0.8091627571587434,0.9406654478460714,0.7745571658615137,0.7028950461198761,0.8401683855541153,0.953125,0.9234853276402477,0.9780875913574185,0.8236301369863014,0.7685584732459733,0.8726026286644354,0.9533291474527887,0.9315278077753982,0.9711066457219348,0.9072612742617965,0.8634370969000439,0.9441008480395409,0.8638410829307568,0.8248900326316794,0.899621154815218,0.08699120530091452,0.07373440815853606,0.10146317417113697
xgboost,0.8629866929521932,0.8252184858584012,0.8949989729257223,0.773524720893142,0.695639429029204,0.8439340648574508,0.7809983896940419,0.7072663224225451,0.8473215747258144,0.8991477272727273,0.860343702957928,0.9326995136550296,0.7772435897435898,0.7143799822787963,0.8309552930721326,0.929607442175377,0.9021913556901795,0.9517517793833313,0.8659186529269672,0.8068097798669776,0.9129718960676911,0.8400730584833846,0.7977635157784784,0.8777980700329292,0.1170562432677882,0.09033226172222741,0.14801015099454548
