model,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall_sensitivity,recall_sensitivity_ci_low,recall_sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,brier_score,brier_score_ci_low,brier_score_ci_high
gradient_boosting_tuned,0.89009364218827,0.8601785473531971,0.9183796295648254,0.835016835016835,0.760024154589372,0.8987718584386971,0.7987117552334944,0.7283227410886985,0.8686543950921375,0.9303977272727273,0.897513975653697,0.9582209277766601,0.8164609053497942,0.75798841103704,0.8627758301531917,0.9394076635924462,0.909058945529017,0.9627679700331624,0.8996929514077818,0.8565165898429457,0.9373265254667094,0.8645547412531108,0.827588040000904,0.9005431647379806,0.09750012952437248,0.07207591118581533,0.12563440245234117
logistic_regression_tuned,0.8684080827994086,0.8343165072959099,0.9012702866984843,0.75,0.6750360903925524,0.8195627837455655,0.855072463768116,0.7952507762635845,0.9088746327701592,0.8742897727272727,0.8333684210526315,0.9132712829976731,0.7990970654627539,0.7438729874776386,0.8461814501288186,0.9422291300688038,0.9152731550334957,0.9650213585987717,0.904506506117489,0.8634623308039016,0.9391758578050152,0.8646811182476943,0.8291429423918562,0.8992519350524681,0.09061127772057376,0.07246658035533118,0.11061896328101574
random_forest_tuned,0.8999507146377526,0.8714416424779997,0.9291521518056126,0.8884758364312267,0.8235777432851937,0.9574241484591165,0.7697262479871175,0.6993148920793246,0.8365590172880345,0.9573863636363636,0.9315805009349176,0.9827970174884529,0.8248490077653149,0.7708289914959876,0.8722555794720743,0.9574675651441956,0.9386261983390493,0.9751479767930494,0.9209310265565,0.8824269465657193,0.9526983696496968,0.8635563058117406,0.826902045011392,0.8985575752603756,0.08778640775643963,0.07548717375214134,0.10174199205030646
